"date","npkg","nnew","ndrop"
2022-05-04,18886,NA,NA
2022-05-05,18889,9,6
2022-05-06,18896,12,5
2022-05-07,18845,0,51
2022-05-08,18844,0,1
2022-05-09,18638,17,223
2022-05-10,18605,15,48
2022-05-11,18613,12,4
2022-05-12,18615,21,19
2022-05-13,18630,18,3
2022-05-14,18632,2,0
2022-05-15,18631,1,2
2022-05-16,18622,3,12
2022-05-17,18645,29,6
2022-05-18,18667,26,4
2022-05-19,18677,11,1
2022-05-20,18679,3,1
2022-05-21,18657,3,25
2022-05-22,18655,1,3
2022-05-23,18603,3,55
2022-05-24,18614,21,10
2022-05-25,18584,12,42
2022-05-26,18594,14,4
2022-05-27,18609,18,3
2022-05-28,18608,0,1
2022-05-29,18608,0,0
2022-05-30,18617,16,7
2022-05-31,18624,8,1
2022-06-01,18647,23,0
2022-06-02,18656,11,2
2022-06-03,18664,10,2
2022-06-04,18661,1,4
2022-06-05,18660,3,4
2022-06-06,18658,4,6
2022-06-07,18667,11,2
2022-06-08,18651,8,24
2022-06-09,18642,22,31
2022-06-10,18587,10,65
2022-06-11,18579,2,10
2022-06-12,18577,0,2
2022-06-13,18547,7,52
2022-06-14,18508,11,50
2022-06-15,18469,14,53
2022-06-16,18473,4,0
2022-06-17,18481,11,3
2022-06-18,18482,1,0
2022-06-19,18482,0,0
2022-06-20,18307,6,181
2022-06-21,18305,17,19
2022-06-22,18316,20,9
2022-06-23,18313,18,6
2022-06-24,18320,12,5
2022-06-25,18315,0,5
2022-06-26,18315,0,0
2022-06-27,18325,10,0
2022-06-28,18339,19,5
2022-06-29,18339,2,2
2022-06-30,18342,10,7
2022-07-01,18348,7,1
2022-07-02,18355,8,1
2022-07-03,18367,12,0
2022-07-04,18370,7,4
2022-07-05,18369,3,4
2022-07-06,18374,6,1
2022-07-07,18370,2,6
2022-07-08,18376,9,3
2022-07-09,18368,3,11
2022-07-10,18367,0,1
2022-07-11,18367,6,6
2022-07-12,18369,5,3
2022-07-13,18365,5,9
2022-07-14,18381,16,0
2022-07-15,18388,9,2
2022-07-16,18391,7,4
